"season","player_id","player_name","team_id","team_name","shot_zone_basic","shots_attempted","shots_made","percentage","team_average","league_average"
"2010-2011","2731","Emeka Okafor","1610612740","New Orleans Hornets","Restricted Area",350,239,68.29,61.26,61.99
"2010-2011","2772","Trevor Ariza","1610612740","New Orleans Hornets","Above the Break 3",163,46,28.22,35.95,34.93
"2010-2011","2772","Trevor Ariza","1610612740","New Orleans Hornets","Backcourt",2,0,0.0,15.38,2.99
"2010-2011","2772","Trevor Ariza","1610612740","New Orleans Hornets","In The Paint (Non-RA)",86,24,27.91,40.0,38.99
"2010-2011","2772","Trevor Ariza","1610612740","New Orleans Hornets","Left Corner 3",37,11,29.73,34.85,39.16
"2010-2011","2772","Trevor Ariza","1610612740","New Orleans Hornets","Mid-Range",145,43,29.66,42.45,40.03
"2010-2011","2772","Trevor Ariza","1610612740","New Orleans Hornets","Restricted Area",260,154,59.23,61.26,61.99
"2010-2011","2772","Trevor Ariza","1610612740","New Orleans Hornets","Right Corner 3",69,25,36.23,38.83,39.72
"2010-2011","2788","DJ Mbenga","1610612740","New Orleans Hornets","In The Paint (Non-RA)",16,5,31.25,40.0,38.99
"2010-2011","2788","DJ Mbenga","1610612740","New Orleans Hornets","Mid-Range",4,1,25.0,42.45,40.03
"2010-2011","2788","DJ Mbenga","1610612740","New Orleans Hornets","Restricted Area",29,17,58.62,61.26,61.99
"2010-2011","978","Peja Stojakovic","1610612740","New Orleans Hornets","Above the Break 3",18,9,50.0,35.95,34.93
"2010-2011","978","Peja Stojakovic","1610612740","New Orleans Hornets","Backcourt",1,0,0.0,15.38,2.99
"2010-2011","978","Peja Stojakovic","1610612740","New Orleans Hornets","Left Corner 3",3,1,33.33,34.85,39.16
"2010-2011","978","Peja Stojakovic","1610612740","New Orleans Hornets","Mid-Range",7,3,42.86,42.45,40.03
"2010-2011","978","Peja Stojakovic","1610612740","New Orleans Hornets","Restricted Area",1,0,0.0,61.26,61.99
"2010-2011","978","Peja Stojakovic","1610612740","New Orleans Hornets","Right Corner 3",3,1,33.33,38.83,39.72
"2010-2011","101249","John Lucas III","1610612741","Chicago Bulls","Above the Break 3",1,0,0.0,36.19,34.93
"2010-2011","101249","John Lucas III","1610612741","Chicago Bulls","Mid-Range",2,1,50.0,39.46,40.03
"2010-2011","200758","Ronnie Brewer","1610612741","Chicago Bulls","Above the Break 3",14,3,21.43,36.19,34.93
"2010-2011","200758","Ronnie Brewer","1610612741","Chicago Bulls","Backcourt",3,0,0.0,0.0,2.99
"2010-2011","200758","Ronnie Brewer","1610612741","Chicago Bulls","In The Paint (Non-RA)",23,7,30.43,38.57,38.99
"2010-2011","200758","Ronnie Brewer","1610612741","Chicago Bulls","Left Corner 3",6,1,16.67,37.5,39.16
"2010-2011","200758","Ronnie Brewer","1610612741","Chicago Bulls","Mid-Range",182,67,36.81,39.46,40.03
"2010-2011","200758","Ronnie Brewer","1610612741","Chicago Bulls","Restricted Area",195,125,64.1,60.99,61.99
"2010-2011","200758","Ronnie Brewer","1610612741","Chicago Bulls","Right Corner 3",4,2,50.0,37.23,39.72
"2010-2011","201149","Joakim Noah","1610612741","Chicago Bulls","Above the Break 3",1,0,0.0,36.19,34.93
